semester_raw,anon_student_id,midterm,score_group,active_days,last3_share,last7_share,concentration_hhi
F22,42,mid1,Q4 highest,20,0.27643650410429743,0.3447609850313858,0.11154509830985529
F22,44,mid1,Q1 lowest,15,0.3872246696035242,0.4898678414096916,0.16386200003881307
F22,44,mid2,Q1 lowest,12,0.48191881918819185,0.49790897908979087,0.18636801423364785
F22,45,mid2,Q4 highest,6,0.5069033530571991,0.5069033530571991,0.20620149811471308
F22,47,mid2,Q4 highest,9,0.5077275329135661,0.5970234688036634,0.16476851804827575
F22,48,mid1,Q1 lowest,13,0.422680412371134,0.5014727540500736,0.1315916950264004
F22,48,mid2,Q1 lowest,13,0.4422148844297688,0.6068072136144271,0.175913706666123
F22,49,mid2,Q1 lowest,14,0.10993037742762918,0.609380725540491,0.17039503904764067
F22,50,mid1,Q1 lowest,16,0.18953634085213034,0.34429824561403505,0.10830019911935226
F22,50,mid2,Q1 lowest,14,0.2551369863013699,0.406392694063927,0.12478107212109837
F22,51,mid1,Q4 highest,18,0.11969286359530262,0.24299909665763325,0.09049172996999467
F22,52,mid2,Q1 lowest,14,0.17783804726850058,0.33746609841146846,0.1332608077896457
F22,54,mid1,Q1 lowest,19,0.31789693593314766,0.4775417827298051,0.1256791027187871
F22,57,mid1,Q1 lowest,11,0.4291139240506329,0.479746835443038,0.2351898734177215
F22,58,mid1,Q1 lowest,17,0.18704512372634644,0.2979136341581756,0.11189317754155699
F22,58,mid2,Q1 lowest,12,0.3341911764705882,0.450735294117647,0.13660818555363322
F22,60,mid2,Q4 highest,10,0.438758389261745,0.5612416107382551,0.21369955182199002
F22,61,mid2,Q4 highest,8,0.1,0.1,0.19123431952662717
F22,62,mid2,Q4 highest,8,0.3090909090909091,0.6982683982683983,0.2167553081838796
F22,63,mid1,Q1 lowest,15,0.28564593301435404,0.42153110047846887,0.11432705295208442
F22,65,mid2,Q4 highest,8,0.452,0.47733333333333333,0.2199964444444445
F22,66,mid1,Q1 lowest,11,0.0,0.0038893690579083835,0.1415703444293463
F22,68,mid1,Q4 highest,17,0.41631663974151856,0.4697899838449111,0.13318291788569298
F22,72,mid1,Q4 highest,13,0.39566929133858264,0.47637795275590544,0.14157577620710796
F22,72,mid2,Q4 highest,11,0.49783048886317616,0.5660977726352329,0.15117829703981706
