semester_raw,anon_student_id,midterm,exam_start,score_pct,timed_practice_starts,timed_practice_finishes,scored_practice_attempts,best_practice_direct_score_pct,latest_practice_direct_score_pct,median_practice_direct_items,did_timed_practice,finished_timed_practice,practice_group,cohort,exam_score_rank_pct,practice_score_rank_pct,practice_quality_band
F21,53,mid1,2021-10-06 16:59:33.000000,90.0,1,1,1,75.09615384615384,75.09615384615384,26.0,True,True,Finished timed practice,F21_mid1,93.20388349514563,24.561403508771928,Bottom quartile
F21,53,mid2,2021-11-03 16:59:08.000000,65.76923076923077,1,0,0,,,,True,False,Started only,F21_mid2,49.01960784313725,,
F21,54,mid1,2021-10-06 17:00:12.000000,68.62068965517241,1,0,0,,,,True,False,Started only,F21_mid1,21.844660194174757,,
F21,54,mid2,2021-11-03 17:00:15.000000,58.8,1,0,0,,,,True,False,Started only,F21_mid2,28.921568627450984,,
F21,55,mid1,2021-10-06 17:00:02.000000,89.65517241379311,1,1,1,88.07692307692308,88.07692307692308,26.0,True,True,Finished timed practice,F21_mid1,88.3495145631068,70.17543859649122,Middle half
F21,55,mid2,2021-11-03 17:00:01.000000,86.8,1,1,1,88.23529411764706,88.23529411764706,34.0,True,True,Finished timed practice,F21_mid2,97.05882352941177,79.3103448275862,Top quartile
F21,56,mid1,2021-10-06 16:59:18.000000,85.86206896551724,1,1,1,91.75824175824177,91.75824175824177,26.0,True,True,Finished timed practice,F21_mid1,66.99029126213593,82.45614035087719,Top quartile
F21,56,mid2,2021-11-03 17:00:02.000000,68.0,0,0,0,,,,False,False,No timed practice,F21_mid2,55.88235294117647,,
F21,57,mid1,2021-10-06 17:00:38.000000,60.0,0,0,0,,,,False,False,No timed practice,F21_mid1,12.135922330097088,,
F21,57,mid2,2021-11-03 16:59:38.000000,67.2,1,1,1,87.09677419354838,87.09677419354838,31.0,True,True,Finished timed practice,F21_mid2,53.92156862745098,72.41379310344827,Middle half
F21,58,mid1,2021-10-06 17:00:29.000000,60.0,1,0,0,,,,True,False,Started only,F21_mid1,12.135922330097088,,
F21,58,mid2,2021-11-03 17:00:02.000000,66.0,0,0,0,,,,False,False,No timed practice,F21_mid2,50.49019607843137,,
F21,59,mid1,2021-10-06 16:58:25.000000,68.94696969696969,1,1,1,63.6,63.6,25.0,True,True,Finished timed practice,F21_mid1,23.300970873786408,10.526315789473683,Bottom quartile
F21,59,mid2,2021-11-03 17:00:11.000000,68.07692307692308,1,1,1,64.24242424242425,64.24242424242425,33.0,True,True,Finished timed practice,F21_mid2,57.35294117647059,31.03448275862069,Middle half
F21,60,mid1,2021-10-06 17:00:14.000000,86.20689655172413,1,1,1,80.38461538461537,80.38461538461537,26.0,True,True,Finished timed practice,F21_mid1,71.84466019417476,40.35087719298245,Middle half
F21,60,mid2,2021-11-03 17:00:07.000000,64.0,0,0,0,,,,False,False,No timed practice,F21_mid2,45.588235294117645,,
F21,61,mid1,2021-10-06 17:02:57.000000,82.5078369905956,1,1,1,62.4,62.4,25.0,True,True,Finished timed practice,F21_mid1,53.398058252427184,8.771929824561402,Bottom quartile
F21,61,mid2,2021-11-03 17:03:17.000000,65.73333333333333,1,0,0,,,,True,False,Started only,F21_mid2,48.03921568627451,,
F21,62,mid1,2021-10-06 17:01:05.000000,77.09770114942529,1,0,0,,,,True,False,Started only,F21_mid1,39.80582524271845,,
F21,62,mid2,2021-11-03 17:00:34.000000,69.6,1,0,0,,,,True,False,Started only,F21_mid2,59.80392156862745,,
F21,63,mid1,2021-10-06 17:00:13.000000,88.96551724137932,0,0,0,,,,False,False,No timed practice,F21_mid1,81.06796116504854,,
F21,63,mid2,2021-11-03 16:59:24.000000,67.4,0,0,0,,,,False,False,No timed practice,F21_mid2,54.90196078431373,,
F21,64,mid1,2021-10-06 17:00:52.000000,62.41379310344828,1,1,1,89.99999999999999,89.99999999999999,26.0,True,True,Finished timed practice,F21_mid1,17.475728155339805,77.19298245614034,Top quartile
F21,64,mid2,2021-11-03 17:09:36.000000,26.8,0,0,0,,,,False,False,No timed practice,F21_mid2,1.9607843137254901,,
F21,65,mid1,2021-10-06 17:00:33.000000,73.79310344827586,1,1,1,76.92307692307693,76.92307692307693,26.0,True,True,Finished timed practice,F21_mid1,30.097087378640776,31.57894736842105,Middle half
F21,65,mid2,2021-11-03 17:00:16.000000,57.60000000000001,1,0,0,,,,True,False,Started only,F21_mid2,25.49019607843137,,
F21,66,mid1,2021-10-06 16:59:24.000000,86.98275862068967,1,1,1,81.82692307692308,81.82692307692308,26.0,True,True,Finished timed practice,F21_mid1,77.66990291262135,44.73684210526316,Middle half
F21,66,mid2,2021-11-03 16:59:53.000000,80.0,1,0,0,,,,True,False,Started only,F21_mid2,89.70588235294117,,
F21,67,mid1,2021-10-06 16:58:07.000000,86.20689655172413,1,1,1,92.3076923076923,92.3076923076923,26.0,True,True,Finished timed practice,F21_mid1,71.84466019417476,91.22807017543859,Top quartile
F21,67,mid2,2021-11-03 16:58:17.000000,72.0,1,1,1,87.5,87.5,32.0,True,True,Finished timed practice,F21_mid2,65.19607843137256,75.86206896551724,Top quartile
F21,68,mid1,2021-10-06 17:00:24.000000,64.83870967741936,1,0,0,,,,True,False,Started only,F21_mid1,18.446601941747574,,
F21,68,mid2,2021-11-03 17:03:38.000000,48.84615384615385,0,0,0,,,,False,False,No timed practice,F21_mid2,10.784313725490197,,
F21,69,mid1,2021-10-06 17:00:06.000000,80.6896551724138,1,1,1,92.3076923076923,92.3076923076923,26.0,True,True,Finished timed practice,F21_mid1,47.57281553398058,91.22807017543859,Top quartile
F21,69,mid2,2021-11-03 16:58:11.000000,59.20000000000001,1,0,0,,,,True,False,Started only,F21_mid2,31.372549019607842,,
