semester_raw,anon_student_id,session_id,midterm,practice_name,practice_direct_items,practice_direct_score_pct
F22,67,8963,mid1,Mid1-Fall22-Practice-Timed | Practice-PI-Mid1-Fall22,50,86.0
F22,67,8992,mid2,Mid2_Fall22-Practice-Timed1.5 | Mid2_Fall22-Practice-Timed2 | PI-Practice-Mid-2,33,84.84848484848484
F22,68,9082,mid1,Mid1-Fall22-Practice-Timed-15,26,86.92307692307692
F22,68,9081,mid1,Mid1-Fall22-Practice-Timed-2,25,67.6
F22,68,9079,mid1,Practice-PI-Mid1-Fall22,23,100.0
F22,68,9104,mid2,Mid2_Fall22-Practice-Timed1.5,30,53.333333333333336
F22,68,9108,mid2,Mid2_Fall22-Practice-Timed2,32,64.0625
F22,68,9109,mid2,PI-Practice-Mid-2,16,81.25
F22,69,9189,mid1,Mid1-Fall22-Practice-Timed,26,51.24999999999999
F22,69,9194,mid1,Mid1-Fall22-Practice-Timed-2,24,87.5
F22,69,9192,mid1,Practice-PI-Mid1-Fall22,20,85.0
F22,69,9247,mid2,Mid2_Fall22-Practice-Timed1.5 | PI-Practice-Mid-2,49,71.42857142857143
F22,70,9347,mid1,Practice-PI-Mid1-Fall22,20,95.0
F22,70,9374,mid2,PI-Practice-Mid-2,16,87.5
F22,71,9468,mid1,Mid1-Fall22-Practice-Timed,24,63.33333333333333
F22,71,9465,mid1,Practice-PI-Mid1-Fall22,20,85.0
F22,71,9505,mid2,PI-Practice-Mid-2,16,50.0
F22,72,9583,mid1,Practice-PI-Mid1-Fall22,20,100.0
F22,72,9612,mid2,Mid2_Fall22-Practice-Timed,32,93.75
F22,73,9708,mid1,Mid1-Fall22-Practice-Timed,25,70.4
F22,73,9712,mid1,Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,29,93.10344827586206
F22,74,9832,mid1,Mid1-Fall22-Practice-Timed-15 | Practice-PI-Mid1-Fall22,41,68.29268292682927
