semester_raw,anon_student_id,midterm,semester,normalized_midterm_name,n_items_observed,n_items_scored,score_points,score_pct,exam_start,exam_end,n_sessions,total_exam_minutes,coverage_pct
F22,32,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,17.454545454545453,58.18181818181818,2022-10-06 14:02:37.252801,2022-10-06 15:40:15.296611,1,97.6340635,96.7741935483871
F22,32,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,9.5,32.758620689655174,2022-11-03 14:00:05.539319,2022-11-03 14:56:27.472590,1,56.36555451666666,90.625
F22,33,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,15.545454545454545,51.81818181818182,2022-10-06 14:04:40.292761,2022-10-06 15:24:52.664129,1,80.20618946666667,96.7741935483871
F22,33,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,11.0,37.93103448275862,2022-11-03 14:00:17.314386,2022-11-03 15:20:36.346473,1,80.31720145,90.625
F22,34,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,28.0,93.33333333333333,2022-10-06 14:05:14.687843,2022-10-06 15:09:09.976051,1,63.92147013333333,96.7741935483871
F22,34,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,20.0,68.96551724137932,2022-11-03 14:00:37.774249,2022-11-03 15:20:14.875566,1,79.61835528333333,90.625
F22,35,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,21.545454545454547,71.81818181818183,2022-10-06 14:04:29.569564,2022-10-06 15:24:02.284453,1,79.54524814999999,96.7741935483871
F22,35,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,17.1,58.96551724137932,2022-11-03 13:59:48.736815,2022-11-03 15:20:20.207709,1,80.5245149,90.625
F22,36,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,26.0,86.66666666666667,2022-10-06 14:04:26.222945,2022-10-06 15:02:36.334480,1,58.168525583333334,96.7741935483871
F22,36,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,24.0,82.75862068965517,2022-11-03 13:59:51.447496,2022-11-03 15:15:16.173069,1,75.41209288333333,90.625
F22,37,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,24.81818181818182,82.72727272727273,2022-10-06 14:04:36.463259,2022-10-06 15:24:37.393024,1,80.01549608333333,96.7741935483871
F22,37,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,18.8,64.82758620689656,2022-11-03 13:59:41.984769,2022-11-03 15:13:45.623713,1,74.06064906666667,90.625
F22,38,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,23.875,79.58333333333333,2022-10-06 14:04:45.392192,2022-10-06 15:24:55.120882,1,80.16214483333333,96.7741935483871
F22,38,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,21.7,74.82758620689654,2022-11-03 14:01:16.470168,2022-11-03 15:18:52.730542,1,77.60433956666667,90.625
F22,39,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,26.875,89.58333333333334,2022-10-06 14:04:36.898214,2022-10-06 15:14:17.062899,1,69.66941141666666,96.7741935483871
